,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0
2020-09-23 14:01:00,-1.0,0.5,-0.5,-0.5,-1.0,-0.5,1.5,-0.5,0.0,-1.0,-0.5,-0.5
2020-09-23 14:02:00,-1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-1.0,-0.3333333333333333,1.3333333333333333,-1.0,0.0,-0.6666666666666666,-1.0,-0.6666666666666666
2020-09-23 14:03:00,-1.0,0.25,-0.25,0.0,-1.0,0.0,1.25,-1.5,0.25,-0.5,-1.5,-0.75
2020-09-23 14:04:00,-0.8,0.0,0.0,0.2,-0.8,0.0,1.2,-2.0,0.6,-0.2,-1.8,-0.6
2020-09-23 14:05:00,-0.8333333333333334,-0.16666666666666666,0.3333333333333333,0.3333333333333333,-0.6666666666666666,-0.16666666666666666,1.3333333333333333,-2.1666666666666665,1.0,0.16666666666666666,-2.0,-0.5
2020-09-23 14:06:00,-0.7142857142857143,-0.42857142857142855,0.5714285714285714,0.5714285714285714,-0.5714285714285714,-0.2857142857142857,1.4285714285714286,-2.142857142857143,1.2857142857142858,0.5714285714285714,-2.0,-0.42857142857142855
2020-09-23 14:07:00,-0.75,-0.5,0.625,0.75,-0.625,-0.25,1.375,-2.0,1.5,0.875,-2.0,-0.375
2020-09-23 14:08:00,-0.7777777777777778,-0.4444444444444444,0.7777777777777778,0.7777777777777778,-0.6666666666666666,-0.3333333333333333,1.2222222222222223,-2.0,1.6666666666666667,1.0,-2.0,-0.2222222222222222
2020-09-23 14:09:00,-0.9,-0.5,1.0,0.8,-0.7,-0.4,1.1,-2.0,1.9,1.0,-1.9,0.0
2020-09-23 14:10:00,-1.0,-0.5454545454545454,1.0909090909090908,0.9090909090909091,-0.6363636363636364,-0.45454545454545453,1.0,-2.0,2.090909090909091,1.0,-1.8181818181818181,0.09090909090909091
2020-09-23 14:11:00,-1.0833333333333333,-0.5,1.25,1.0833333333333333,-0.5,-0.5833333333333334,1.0,-2.0833333333333335,2.25,1.0833333333333333,-1.6666666666666667,0.08333333333333333
2020-09-23 14:12:00,-1.1538461538461537,-0.5384615384615384,1.3076923076923077,1.2307692307692308,-0.46153846153846156,-0.7692307692307693,1.0,-2.1538461538461537,2.3076923076923075,1.0769230769230769,-1.6153846153846154,0.15384615384615385
2020-09-23 14:13:00,-1.2857142857142858,-0.6428571428571429,1.4285714285714286,1.4285714285714286,-0.35714285714285715,-0.9285714285714286,0.9285714285714286,-2.2857142857142856,2.357142857142857,1.1428571428571428,-1.5,0.2857142857142857
2020-09-23 14:14:00,-1.3333333333333333,-0.7333333333333333,1.4666666666666666,1.6666666666666667,-0.2,-1.1333333333333333,0.8,-2.3333333333333335,2.3333333333333335,1.1333333333333333,-1.4666666666666666,0.4666666666666667
2020-09-23 14:15:00,-1.4375,-0.75,1.4375,1.9375,-0.0625,-1.375,0.75,-2.3125,2.3125,1.125,-1.375,0.6875
2020-09-23 14:16:00,-1.4705882352941178,-0.8235294117647058,1.3529411764705883,2.176470588235294,0.11764705882352941,-1.588235294117647,0.7058823529411765,-2.235294117647059,2.2941176470588234,1.1176470588235294,-1.2352941176470589,0.8823529411764706
2020-09-23 14:17:00,-1.5555555555555556,-0.8888888888888888,1.3333333333333333,2.4444444444444446,0.3333333333333333,-1.8333333333333333,0.7222222222222222,-2.2222222222222223,2.2222222222222223,1.1111111111111112,-1.1666666666666667,1.0
2020-09-23 14:18:00,-1.6842105263157894,-0.9473684210526315,1.368421052631579,2.6842105263157894,0.5789473684210527,-2.0,0.7894736842105263,-2.1578947368421053,2.210526315789474,1.1578947368421053,-1.1578947368421053,1.105263157894737
2020-09-23 14:19:00,-1.85,-0.95,1.45,2.9,0.8,-2.1,0.85,-2.15,2.25,1.2,-1.1,1.2
2020-09-23 14:20:00,-1.9523809523809523,-0.9047619047619048,1.5714285714285714,3.0952380952380953,0.9523809523809523,-2.142857142857143,0.9523809523809523,-2.0952380952380953,2.3333333333333335,1.2857142857142858,-1.0952380952380953,1.2857142857142858
2020-09-23 14:21:00,-2.0,-0.8181818181818182,1.7272727272727273,3.227272727272727,1.0909090909090908,-2.1363636363636362,1.0,-2.0454545454545454,2.3636363636363638,1.3636363636363635,-1.0454545454545454,1.3636363636363635
2020-09-23 14:22:00,-2.0869565217391304,-0.6956521739130435,1.9130434782608696,3.391304347826087,1.2608695652173914,-2.130434782608696,1.0434782608695652,-2.0434782608695654,2.4347826086956523,1.4782608695652173,-0.9565217391304348,1.4782608695652173
2020-09-23 14:23:00,-2.2083333333333335,-0.5833333333333334,2.125,3.5833333333333335,1.375,-2.1666666666666665,1.0833333333333333,-2.0833333333333335,2.5416666666666665,1.5833333333333333,-0.875,1.625
2020-09-23 14:24:00,-2.28,-0.52,2.28,3.72,1.52,-2.24,1.16,-2.08,2.68,1.64,-0.8,1.8
